Name	Japanese Name	Alias	DOB	Doubtful DOB
Miyu Fujimura	藤村みゆ	高崎美佳	1987-09-30	
Miyu Suenaga	末永みゆ		1995-11-04	
Miyuu Hoshino	星野美優		N/A	
Namy Fujitani	藤谷ナミィ		1989-04-09	Yes
Niimi Nanae	新見ななえ		2000-09-06	
Natsu Inaba	いなばなつ		1999-04-02	
Natsuki	夏輝		N/A	
Okada Hina	岡田陽菜	有坂るり	1998-12-10	
Oshima Juna	大島珠奈		1996-02-05	Yes
Rena Aiba	相葉レナ	れな	1996-??-??	
Rika Hatsumi	初海りか		1991-06-17	Yes
Rina Hasegawa	長谷川里奈	長谷川りりな	1989-03-21	Yes
Rui Sakurazawa	桜沢るい		1999-05-15	Yes
Rumi Ishino	石野瑠見		2000-12-14	
Ruri Morino	森野琉李	佐々野愛美	1997-05-23	Yes
Sae Akasaka	赤坂沙絵		1993-01-22	
Saku Uena	上奈紗空		1991-09-22	Yes
Sakura Aida	あいださくら		1991-04-18	
Sakura Anna	安奈さくら		2000-01-01	
Sakura Tsubaki	椿姫さくら		1993-12-05	Yes
Sayaka Kamiya	神谷さやか		1989-04-21	
Sayaka Mizutani	水谷彩也加	長瀬麻美	1992-06-06	
Suzuki Emika	鈴木 絵美華		1990-07-14	
Yui Ando	安藤唯		1996-09-25	
Yui Arioka	井口ゆい		1992-11-13	
Yukari Fujima	藤間ゆかり		1990-07-09	Yes
Yukari Nakai	中井ゆかり		1992-07-07	
Yuki Fujisaki	藤咲由姫		1989-11-14	
Yume Ayanami	綾波ゆめ		1995-06-09	Yes
Yuri Hamada	浜田由梨		1991-05-04	
Yuu Hashimoto	橋本優 		1995-02-03	
Yuu Komai	駒井ゆう		1990-08-18	Yes
Yuuki Minami	優希みなみ		1993-05-15	
Yuri Fujise	藤瀬じゅり		1993-01-02	Yes
Yumi Hamada	葉山裕美		1991-06-29	
Ayaka Sakuga	春日彩香		1998-05-08	
Sena Hiiragi	柊星那	胡桃沢あみか	1997-12-24	
Sakura Kudo	工藤さくら		1996-08-17	
Ami Ihara	井原亜美		1994-09-05	
Sae Kamiya	神谷紗英		1994-06-15	
Ami Suenaga	末永亜美		1995-02-14	
Natsumi Fujimoto	藤本夏海		1995-11-18	Yes
Ayame Goto	後藤あやめ		1996-03-30	Yes
Sakura Koharu	櫻小春		1997-09-09	
Honoka Kawai	河合ほのか		1996-11-12	
Anna Oonishi	大西杏奈		1994-08-15	
Ashida Misuzu	芦田実沙寿		1993-11-29	
Aoi Fujinaga	藤永あおい		1993-03-08	Yes
Hikaru Takahashi	高橋ひかる		1995-08-07	
Remon Kimura	木村怜門		1995-12-03	
Seira Kikuchi	菊池せいら		1997-12-14	Yes
Kobayashi Sae	こばやしさえ		1996-11-03	Yes
Futami Madoka	双美まどか		1996-03-26	Yes
Minami Watase	渡瀬愛美		N/A	
Mio Katsuragi	桂木澪 旬撮		1994-01-27	
Miyuki Wakana	若菜みゆき		N/A	Yes
Yua Ryouke	領家ゆあ		1992-07-16	
Akua Otsuki	大月あくあ		1997-12-15	
Ayaka Watanabe	渡辺あいか		N/A	
Kanno Momo	かんのもも		1992-02-14	Yes
Karen Arai	新井果恋		1992-08-21	Yes
Aina Osawa	大沢あいな		1997-02-26	Yes
Aida Yuzuna	合田柚奈		1996-05-13	Yes
Kojima Aoi	小嶋 葵		1995-07-21	Yes
Noriko Nishiyama	西山乃利子		2000-05-29	
Sasaki Mako	榊まこ		1999-12-02	
Sora Mizuno	みずのそら		N/A	
Mirai Akiyoshi	秋吉美来		2000-03-27	
Reina Kawai	河合玲奈		2000-06-20	
Kaede Kusano	草野楓		1998-02-15	
Arai Hiina	新井ひいな		2000-01-18	
Koharu Sasaki	佐々木心晴		1996-09-03	Yes
Yui Koike	小池唯		1991-04-04	
Sakurako Ogawa	小川櫻子		1991-08-28	
Anmi Akanishi	赤西安未		1993-11-10	
Akane Kaneko	金子あかね		1993-11-24	
Mei Aikawa	逢川めい		1994-12-29	
Arisa Mizuhara	水原アリサ		1995-01-01	Yes
Airi Aragaki	新垣愛莉		1993-09-19	Yes
Amane Watanabe	渡辺アマネ		1996-03-31	Yes
Koyama Mitsuki	神山満月		1995-08-20	Yes
Miina Aoki	青木美依奈		1997-12-11	
Asuka Izumi	泉明日香		1992-09-20	
Erika Aoba	青葉えりか		2002-05-10	
Miyu Sasaki	佐々木みゆう		1998-10-07	
Eriko Mizusawa	楠みゆう	佐々木 みゆう	1997-10-07	
Hiro Konno	紺野ひろ		N/A	
Riona Isaka	井坂里緒菜		2002-10-20	
Rin Mizuki	美月りん		1995-09-11	
Anna Taniguchi	谷口杏奈		1988-06-01	
Chiho Haruna	春名ちほ		1989-12-26	
Riho Kisinami	岸波莉穂		1992-04-23	
Ayaka Shirai	白井綾花		1997-12-24	Yes
Sumire Sadohara	佐土原すみれ		1997-10-03	Yes
Noeru Natsumi	夏実のえる		N/A	
Nozomi Takada	高田のぞみ		1995-03-10	Yes
Runa Sakurai	桜井瑠菜		1998-03-11	
Momona Kirihara	桐原百菜		N/A	
Natsumi Kayama	香山奈津美		N/A	
Chihiro Ueno	植野千尋		1991-06-19	
Hatsune Matsushima	松嶋初音		1987-11-13	
Ai Yamagami	山上愛		1996-03-16	
Jun Serizawa	芹沢潤		1998-01-24	
Kairi Mizuki	美月海莉		1998-08-17	
Chia Kinoshita	樹下智愛		1997-11-07	Yes
Arisa	有沙		1997-10-04	
Arisa Machida	町田有沙		1996-01-10	
Akane Kamiyama	神山あかね		2000-11-29	
Mai Oozora	大空舞		1998-04-04	
Haruka Nagasawa	長澤遥香		1996-01-15	
Marin Moriya	森谷まりん		1993-02-27	
Ayaka Ootani	大谷彩夏		1995-09-03	
Kanon Tsuki	辻かのん		1991-04-26	
Rio Usami	宇佐美りお		1997-01-16	
Ayaka Ito	伊藤綾香		1991-05-03	Yes
Jennifer Kurosawa	黒沢ジェニファー		1990-04-14	
Honoka Maki	真希ほのか		1992-09-15	
Ruka Kawai	小池瑠香		1993-10-08	Yes
Kaori Osaki	大崎佳織		1988-07-07	
Hana Nishino	西野華		1997-06-28	
Miya Manma	真間美也		1997-02-01	
Miku Takaoka	高岡未來		1994-12-10	
Aira Mihana	三花愛良		1994-05-30	
Temari Kusanagi	草薙てまり		1989-08-03	
Aya Kuwata	桑田彩		1997-01-15	
Mai Sasaki	佐々木舞		1995-06-24	
Marin Tsuchiya	土屋真凜		2002-07-09	
Emiri Tachibana	立花絵海莉		1996-04-01	
Noa Naraoka	楢岡のあ		1999-09-04	
Minami Horiguchi	堀口みなみ		1996-09-10	
Ayaka Kasuga	春日彩香		1998-05-08	
Ai Saito	斉藤愛		1997-07-19	
Riho Niina	新菜りほ		N/A	
Shurika Tachibana	立花朱梨花		1997-02-27	Yes
Miku Sakurai	桜井未來		1992-12-02	Yes
Kana Anzai	安西かな	麻生かな	1995-06-03	
Miyuu Kanzaki	神崎美優		1994-01-20	
Ai Hanazawa	花沢あい		1999-12-13	
Hikari Aizawa	亜沢光		1998-11-16	
Misato Ougi	扇ミサト		1993-07-25	
Saeka Kouno	河野冴香		1994-12-23	
Sayaka Miki	美樹さやか		1997-03-01	Yes
Mio Fujitani	藤谷澪		2000-05-20	
Renna Minami	南蓮菜		1998-10-16	
Rina Koharu	小春理奈		1996-07-11	Yes
Suzuki Meka	鈴木芽果		1996-10-02	
Maria Mizuki	水輝まりあ		1997-05-28	
Noa Mashima	真島のあ		1996-07-25	
Marika Yura	由良マリカ		1996-03-18	Yes
Rika Takei	武井梨花		1995-04-30	
Renon Oomori	大森玲音		1999-02-26	
Rina Ishida	石田莉奈		1995-07-29	Yes
Hina Nishikawa	西川陽南		1995-03-06	Yes
Miki Sayama	佐山みき		1993-10-29	Yes
Miyazaki Kurumi	宮崎くるみ		1996-06-21	Yes
Ichigo Eguchi	江口いちご		1995-03-13	
Haruna Kurosawa	黒沢はるな		1995-05-07	
Hatsuna Yamada	山田初夏		1997-07-01	Yes
Ayaka Okita	沖田彩花		2000-09-03	
Mai Mizuno	水野舞		1998-12-28	
Mizuki Akino	秋乃みずき		1991-11-13	
Himeka Nakazawa	中沢ひめか		1998-05-30	
Haruka Inui	乾遥香		1990-08-02	
Ruri Aikawa	相川るり		1995-06-06	
Ayana Nishinaga	西永彩奈		1996-01-18	
Chieri Taneda	種田ちえり		1991-07-12	
Riho Hasegawa	長谷川リホ		1991-03-19	
Riko Inoue	井上理子		1995-03-22	
Hiyori Yamasaki	山咲ひより		1997-03-28	Yes
Rena Fujitani	藤谷レナ		1995-12-07	Yes
Nakano Sarii	中野沙里衣		1995-06-10	
Miho Takai	高井みほ		1990-05-28	
Mao Kobayashi	小林万桜		1992-01-12	
Kotora Mafune	真船コトラ		1995-05-27	Yes
Mizuki Otsuka	大塚聖月		1994-02-21	
Mikuni Saran	三國さらん		1999-01-06	YES
Nana Tanaka	田中菜々		1996-06-25	
Sakura Nina	佐倉仁菜		1992-05-29	
Nana Muramatu	村松奈々		2004-02-22	
Momo Shina	椎名もも		1997-08-06	
Haruka Kurasawa	倉澤遥		2001-10-07	
Seino Shiroyama	白山せいの		2000-09-05	
Karen Nishino	西野花恋		1998-07-22	
Haru Hoshina	星名はる		2002-01-06	
Izumi Hiyori	和泉ひより		1998-01-17	
Tomoe Yamanaka	山中知恵		1995-01-16	
